#{"t_start": 1701185576.1688473, "env_id": null}
r,l,t
4.0,15,40.483361
-6.0,10,40.521361
-7.0,13,40.548922
-8.0,17,40.585197
-8.0,15,40.617855
-8.0,14,40.650444
2.0,13,40.678956
2.0,11,40.702144
-9.6,11,40.726144
-9.6,17,40.761722
-8.5,13,40.792754
2.0,14,40.827756
-8.0,13,40.861984
-8.0,11,40.898723
-7.6,19,40.943722
-8.8,11,40.968242
-7.8,14,40.998243
-6.8,14,41.030242
-7.8,17,41.09176
-7.8,12,41.136758
-8.0,11,41.177273
-7.8,13,41.224273
-9.0,13,41.252278
-8.8,13,41.280304
-7.0,13,41.308882
-7.0,11,41.332879
