#{"t_start": 1701189706.7659142, "env_id": null}
r,l,t
-7.7,12,44.505972
-6.8,13,44.534314
-9.8,16,44.568314
-7.6,15,44.600315
-7.8,14,44.62983
-7.8,15,44.686828
-7.8,11,44.726346
-6.8,12,44.772346
-8.8,14,44.824858
-7.6,12,44.870377
-6.8,17,44.918491
-7.0,13,44.94874
-7.6,16,44.994124
-8.6,15,45.026783
-8.4,12,45.053773
-6.5,14,45.085938
-9.6,16,45.128018
-8.0,15,45.184019
-8.0,16,45.241033
-8.8,11,45.274987
-6.6,13,45.309583
-8.0,19,45.353101
-8.8,11,45.380101
-6.0,15,45.434618
3.2,21,45.478619
-8.8,15,45.511623
-7.6,13,45.540135
-5.8,13,45.588136
-7.8,17,45.650651
-8.8,18,45.718172
-8.5,16,45.776175
-7.7,20,45.848689
-7.0,14,45.899687
-6.7,18,45.940957
-6.0,16,46.000098
-8.8,20,46.072101
-8.8,18,46.109621
-8.8,14,46.146086
-8.0,14,46.177084
-8.0,15,46.20909
-9.8,16,46.268398
-5.8,18,46.309559
-8.4,16,46.350391
-6.0,13,46.391395
-8.0,13,46.42295
-6.6,19,46.470962
-4.0,17,46.522474
-5.8,15,46.564478
2.2,13,46.594476
-7.6,13,46.624997
-7.8,15,46.676995
-7.8,17,46.720523
-8.5,17,46.760525
-7.0,20,46.807531
-8.7,18,46.851042
-9.8,12,46.881042
-7.0,18,46.927574
-9.8,12,46.956316
3.0,16,47.005431
-9.8,16,47.04213
2.4,11,47.06813
-7.8,13,47.099655
-8.8,17,47.150195
-7.8,17,47.191187
-8.6,19,47.235716
-7.5,16,47.271715
-8.8,11,47.317235
-6.6,16,47.374817
-8.8,15,47.429676
-8.7,16,47.489676
-8.5,15,47.546209
-6.8,15,47.579208
-7.4,12,47.604213
-7.5,20,47.646729
-8.8,11,47.669729
-6.8,14,47.700729
-6.6,12,47.72625
-9.8,13,47.755249
-9.8,16,47.789259
3.2,12,47.816255
-5.8,16,47.87578
-8.3,13,47.928316
-7.0,11,47.973667
1.4,12,48.018787
-9.5,14,48.071661
-5.8,16,48.129324
-9.6,14,48.182324
-6.5,21,48.248857
-8.0,15,48.280858
-7.6,14,48.411159
-8.0,23,48.482677
1.2,11,48.524214
-6.8,15,48.581214
-7.8,12,48.60722
-8.8,16,48.640732
-8.8,20,48.682732
-8.2,16,48.744266
-6.0,10,48.781265
-8.5,14,48.834794
-5.8,16,48.890794
3.2,12,48.936329
-7.8,20,49.008326
-6.6,13,49.057981
-8.6,13,49.108556
-7.6,13,49.157888
1.2,15,49.213455
-8.8,15,49.269964
3.0,14,49.322479
-7.6,14,49.375038
-7.7,19,49.415048
-6.6,14,49.44456
-8.0,15,49.477099
-8.3,16,49.511104
-8.4,14,49.540634
-5.8,16,49.574615
0.6,11,49.598615
