#{"t_start": 1701302866.6907127, "env_id": null}
r,l,t
-0.5,7,35.277862
-0.3,7,35.293863
1.5,5,35.305843
2.5,4,35.315842
-0.5,7,35.331847
-0.3,7,35.347929
-3.2,11,35.371916
2.5,4,35.380916
1.5,5,35.392923
1.5,5,35.404917
1.7,5,35.418916
-1.8,9,35.437984
1.5,5,35.457192
0.7,6,35.480734
-0.3,7,35.497291
1.5,5,35.51729
2.5,4,35.534295
2.2,5,35.545804
1.5,5,35.564804
1.2,8,35.584805
-4.3,13,35.613803
0.5,6,35.627817
0.7,6,35.641818
1.5,5,35.654335
2.5,4,35.664335
-2.5,9,35.686335
0.2,7,35.704334
0.0,9,35.72735
2.5,4,35.73735
-2.3,9,35.756859
2.5,4,35.766859
0.5,6,35.780858
-2.8,10,35.801859
1.7,5,35.813859
-1.3,8,35.843374
2.5,4,35.854373
0.7,6,35.867373
-2.2,12,35.892373
1.5,5,35.912375
2.5,4,35.922374
0.3,8,35.940377
1.7,5,35.951889
2.5,4,35.962889
1.7,5,35.974889
0.7,6,35.988889
-0.5,7,36.00489
0.5,6,36.020889
1.5,5,36.033357
0.7,6,36.046913
-3.8,11,36.069912
2.5,4,36.080912
0.5,6,36.094912
-2.3,9,36.114079
2.5,4,36.124078
-0.3,7,36.142082
1.5,5,36.154527
-1.8,9,36.174087
2.0,7,36.212087
1.5,5,36.224087
2.5,4,36.233669
1.5,5,36.254176
2.5,4,36.264176
2.5,4,36.276715
2.5,4,36.286715
-0.3,7,36.30426
2.5,4,36.317268
0.7,6,36.331273
2.5,4,36.341272
1.2,8,36.358889
2.5,4,36.368888
2.1,6,36.382887
2.5,4,36.391889
-0.3,7,36.40789
2.5,4,37.790736
1.0,8,37.807735
2.5,4,37.816742
0.5,6,37.829741
2.5,4,37.83974
1.5,5,37.850252
2.5,4,37.859251
2.5,4,37.869251
0.5,6,37.882252
1.7,5,37.893252
2.1,6,37.906252
2.5,4,37.916251
1.7,5,37.927251
0.7,6,37.941257
2.5,4,37.949771
2.5,4,37.95977
2.5,4,37.96877
-0.8,8,37.98577
2.5,4,37.99477
1.7,5,38.005771
2.5,4,38.01477
1.9,6,38.027771
1.7,5,38.039778
1.7,5,38.051291
2.5,4,38.060292
2.5,4,38.069293
1.9,6,38.082292
1.3,7,38.097302
0.7,6,38.110293
3.8,5,38.122292
2.5,4,38.131305
0.7,6,38.143814
2.5,4,38.153813
2.5,4,38.162815
-0.3,7,38.177814
0.5,6,38.190814
0.5,6,38.203814
2.5,4,38.212815
2.5,4,38.222356
1.2,6,38.235361
1.5,5,38.246871
2.5,4,38.255872
3.1,7,38.270609
2.5,4,38.28061
1.9,6,38.292609
2.5,4,38.30161
0.5,6,38.315162
2.5,4,38.324733
1.4,8,38.340747
1.5,5,38.352247
2.5,4,38.362247
1.9,6,38.384012
2.5,4,38.400021
0.7,6,38.413012
1.2,6,38.426549
2.5,4,38.435554
0.7,6,38.448064
-6.3,13,38.474072
2.5,4,38.483669
2.5,4,38.492669
2.5,4,38.502669
0.7,6,38.514668
2.5,4,38.52421
1.5,5,38.535214
2.5,4,38.544726
-0.5,7,38.559613
3.1,7,38.574614
2.2,5,38.585614
1.3,7,38.600157
0.5,6,38.623156
2.5,4,38.63216
1.5,5,38.643674
2.5,4,38.652673
3.0,6,38.665673
1.5,5,38.676674
2.5,4,38.685673
2.5,4,38.694674
-1.3,8,38.711674
0.5,6,38.725013
-2.3,9,38.757552
2.5,4,38.773552
1.7,5,38.785553
-0.5,7,38.800552
2.2,5,38.811552
1.5,5,38.822552
1.7,5,38.833557
2.5,4,38.84306
1.2,6,38.855789
3.8,5,38.866789
2.5,4,38.876788
2.5,4,38.885789
3.8,5,38.905789
1.5,5,38.924788
2.5,4,38.933793
-1.5,8,38.950315
1.5,5,38.961711
0.5,6,38.984729
1.5,5,38.995729
2.5,4,39.011731
-1.3,8,39.02773
-1.3,8,39.045264
2.2,5,39.057259
0.7,6,39.080261
1.5,5,39.099259
1.7,5,39.11126
2.5,4,39.121259
1.7,5,39.140265
1.5,5,39.152787
1.5,5,39.163791
1.7,5,39.17779
-0.3,7,39.192787
1.5,5,39.204787
2.5,4,39.214787
0.5,6,39.228799
2.5,4,39.239798
4.5,9,39.259321
1.2,6,39.272651
1.7,5,39.28421
-0.5,7,39.303212
2.2,5,39.317212
0.7,6,39.331221
1.5,5,39.343032
1.5,5,39.354547
2.5,4,39.370101
-0.5,7,39.386101
1.5,5,39.397101
-2.3,9,39.416102
1.0,8,39.446615
2.5,4,39.462615
1.5,5,39.473616
2.9,5,39.485616
2.5,4,39.495615
1.5,5,39.507056
1.6,8,39.534644
2.4,7,39.550152
2.5,4,39.559721
2.5,4,39.569721
2.5,4,39.578721
1.7,5,39.590721
1.5,5,39.601721
0.7,6,39.614721
2.5,4,39.624721
1.5,5,39.635724
-2.3,9,39.654234
2.5,4,39.663235
2.5,4,39.675233
2.5,4,39.685235
2.5,4,39.695234
0.0,9,39.713234
2.5,4,39.723234
1.0,8,39.742239
2.5,4,39.751759
-0.3,7,39.778751
0.5,6,39.791751
0.5,6,39.80575
1.5,5,39.816752
1.5,5,39.828756
1.5,5,39.840755
1.2,6,39.854269
3.8,5,39.873268
1.5,5,39.885269
3.8,5,39.897268
1.5,5,39.917268
2.5,4,39.927268
2.5,4,39.937274
2.5,4,39.946784
2.5,4,39.956784
2.5,4,39.966784
1.7,5,39.977784
1.7,5,39.997785
-1.3,8,40.014783
2.5,4,40.024784
-0.3,7,40.057884
1.5,5,40.069884
1.7,5,40.080885
2.5,4,40.097884
1.5,5,40.108885
1.5,5,40.120884
-0.5,7,40.136892
-0.3,7,40.152399
0.7,6,40.1654
2.4,7,40.180399
1.2,6,40.1944
0.7,6,40.2084
0.5,6,40.221399
2.5,4,40.231414
1.5,5,40.251486
1.7,5,40.263485
1.5,5,40.277486
2.5,4,40.287485
2.5,4,40.302485
1.5,5,40.317341
1.5,5,40.329344
1.5,5,40.340358
2.5,4,40.351397
1.5,5,40.362955
2.5,4,40.372955
2.5,4,40.382954
3.3,7,40.398155
2.5,4,40.408154
1.5,5,40.420154
0.7,6,40.433159
2.5,4,40.443662
2.5,4,40.456256
1.1,7,40.471269
2.5,4,40.481256
-1.3,8,40.498255
2.5,4,40.508804
2.5,4,40.518804
0.5,6,40.531348
0.5,6,40.545146
-3.5,10,40.567145
-1.3,8,40.584713
2.5,4,40.594713
2.5,4,40.604436
1.7,5,40.615436
1.7,5,40.627992
-0.3,7,40.643503
1.5,5,40.657512
1.5,5,40.669511
-0.5,7,40.685512
-0.3,7,40.701512
0.7,6,40.715511
-0.3,7,40.730515
1.5,5,40.742516
2.5,4,40.756028
2.5,4,40.766031
2.5,4,40.782029
0.7,6,40.805028
1.8,7,40.821029
0.7,6,40.834033
2.5,4,40.844541
-1.5,8,40.861541
1.5,5,40.87354
2.5,4,40.883541
1.7,5,40.896543
1.5,5,40.912542
-1.3,8,40.931546
1.5,5,40.943546
2.5,4,40.956063
2.5,4,40.966063
2.5,4,40.976063
-0.5,7,40.992064
-0.3,7,41.018068
2.5,4,41.029069
0.5,6,41.042068
1.7,5,41.057586
0.5,6,41.072583
2.5,4,41.082584
2.5,4,41.092584
2.5,4,41.102583
-1.3,8,41.123583
2.5,4,41.135588
2.5,4,41.1451
1.5,5,41.1651
1.7,5,41.176101
1.7,5,41.188101
1.5,5,41.2001
-0.3,7,41.2161
-1.3,8,41.248614
1.7,5,41.260613
2.5,4,41.270613
-2.3,9,41.29027
-0.3,7,41.305272
2.5,4,41.315814
2.5,4,41.325815
1.5,5,41.337819
2.5,4,41.348862
1.7,5,41.367609
2.5,4,41.378609
1.7,5,42.763571
1.5,5,42.77558
2.5,4,42.78458
2.5,4,42.80058
1.7,5,42.810596
0.7,6,42.823587
2.5,4,42.832589
0.7,6,42.845093
1.5,5,42.857101
0.2,7,42.8711
2.9,5,42.883101
2.5,4,42.892101
0.7,6,42.914101
1.5,5,42.925101
1.5,5,42.937106
2.5,4,42.945609
1.7,5,42.957616
0.7,6,42.969617
1.5,5,42.980617
2.5,4,42.990616
2.5,4,42.999616
0.5,6,43.012616
1.7,5,43.031621
3.8,5,43.050131
2.5,4,43.060131
1.7,5,43.071131
2.5,4,43.08013
-0.5,7,43.094131
2.5,4,43.104131
1.5,5,43.115131
2.5,4,43.124131
2.5,4,43.140135
2.9,5,43.150647
2.5,4,43.160648
2.5,4,43.169648
2.5,4,43.178648
2.5,4,43.193648
1.5,5,43.205648
0.4,7,43.220648
2.5,4,43.230654
0.7,6,43.243653
1.5,5,43.263167
0.7,6,43.285168
3.8,5,43.296168
2.5,4,43.306167
0.5,6,43.319277
2.5,4,43.328277
2.5,4,43.344281
2.5,4,43.353338
1.7,5,43.364337
1.5,5,43.375338
1.7,5,43.386349
2.5,4,43.395994
2.5,4,43.405003
3.8,5,43.416002
1.5,5,43.427542
1.5,5,43.438554
1.5,5,43.449065
0.5,6,43.462065
2.5,4,43.471064
2.5,4,43.487065
2.5,4,43.496065
2.5,4,43.505065
2.5,4,43.514065
1.7,5,43.525065
2.5,4,43.534083
0.7,6,43.548598
1.2,6,43.5606
2.5,4,43.57014
2.5,4,43.57915
2.8,6,43.592139
1.5,5,43.60314
1.5,5,43.614559
2.5,4,43.623559
1.5,5,43.635565
2.5,4,43.644564
0.5,6,43.667726
2.5,4,43.67674
2.2,5,43.68774
2.0,7,43.702625
2.5,4,43.711631
2.5,4,43.720634
1.2,6,43.743178
3.8,5,43.754688
1.5,5,43.773687
1.5,5,43.785564
2.5,4,43.794563
0.5,6,43.816571
2.8,6,43.829567
2.5,4,43.839571
2.5,4,43.849083
1.8,7,43.864083
